CountryCode,CountryName,ProjYear,PovertyLine,HeadCount,CoverageType
AFG,Afghanistan,2008,1.9,0.709242395136245,N
AFG,Afghanistan,2008,1.994779514,0.740436384956788,N
AFG,Afghanistan,2008,3.2,0.926938233861232,N
AFG,Afghanistan,2008,5.5,0.983052241874367,N
AFG,Afghanistan,2008,16.50903858,0.998775446302632,N
AFG,Afghanistan,2010,1.9,0.535230347031233,N
AFG,Afghanistan,2010,2.137507976,0.624684241008436,N
AFG,Afghanistan,2010,3.2,0.858455899758544,N
AFG,Afghanistan,2010,5.5,0.968370674657928,N
AFG,Afghanistan,2010,17.4555425,0.998129862215285,N
AFG,Afghanistan,2011,1.9,0.495538523592758,N
AFG,Afghanistan,2011,2.280773976,0.634323895822477,N
AFG,Afghanistan,2011,3.2,0.83716962517382,N
AFG,Afghanistan,2011,5.5,0.963619096122535,N
AFG,Afghanistan,2011,17.81334964,0.99798789071828,N
AFG,Afghanistan,2012,1.9,0.410399499219605,N
AFG,Afghanistan,2012,2.36253841,0.574615914567008,N
AFG,Afghanistan,2012,3.2,0.780548203496251,N
AFG,Afghanistan,2012,5.5,0.950184252288676,N
AFG,Afghanistan,2012,18.36542926,0.997553684158046,N
AFG,Afghanistan,2013,1.9,0.386660504977087,N
AFG,Afghanistan,2013,2.509693168,0.594976172603085,N
AFG,Afghanistan,2013,3.2,0.761415457731274,N
AFG,Afghanistan,2013,5.5,0.945316595994372,N
AFG,Afghanistan,2013,18.79714975,0.997493792902689,N
AFG,Afghanistan,2015,1.9,0.371242982694815,N
AFG,Afghanistan,2015,2.668833214,0.624259823669395,N
AFG,Afghanistan,2015,3.2,0.748046159503693,N
AFG,Afghanistan,2015,5.5,0.941798777356946,N
AFG,Afghanistan,2015,19.46453494,0.997565353755208,N
AFG,Afghanistan,2018,,,N
AFG,Afghanistan,2018,1.9,0.33694683685023,N
AFG,Afghanistan,2018,2.877820132,0.641573996871236,N
AFG,Afghanistan,2018,3.2,0.715314658284756,N
AFG,Afghanistan,2018,5.5,0.932733612162467,N
AFG,Afghanistan,2019,,,N
AFG,Afghanistan,2019,1.9,0.315911177942826,N
AFG,Afghanistan,2019,2.913124478,0.625928619579202,N
AFG,Afghanistan,2019,3.2,0.69295504882975,N
AFG,Afghanistan,2019,5.5,0.926127785212799,N
AFG,Afghanistan,2020,,,N
AFG,Afghanistan,2020,1.9,0.344059064580205,N
AFG,Afghanistan,2020,2.879716786,0.650053945167483,N
AFG,Afghanistan,2020,3.2,0.722464969984255,N
AFG,Afghanistan,2020,5.5,0.934772409115856,N
AFG,Afghanistan,2021,,,N
AFG,Afghanistan,2021,1.9,0.32226981874238,N
AFG,Afghanistan,2021,2.947927508,0.642209526902299,N
AFG,Afghanistan,2021,3.2,0.699911451726064,N
AFG,Afghanistan,2021,5.5,0.928221700920373,N
ERI,Eritrea,2008,1.9,0.487776189957819,N
ERI,Eritrea,2008,1.994779514,0.506912851644335,N
ERI,Eritrea,2008,3.2,0.708249055046692,N
ERI,Eritrea,2008,5.5,0.906089142550544,N
ERI,Eritrea,2008,16.50903858,0.9998155982021,N
ERI,Eritrea,2010,1.9,0.467901885823585,N
ERI,Eritrea,2010,2.137507976,0.513726755408278,N
ERI,Eritrea,2010,3.2,0.685867311541491,N
ERI,Eritrea,2010,5.5,0.891210926801504,N
ERI,Eritrea,2010,17.4555425,0.999819551413416,N
ERI,Eritrea,2011,1.9,0.44123497751979,N
ERI,Eritrea,2011,2.280773976,0.510554711446194,N
ERI,Eritrea,2011,3.2,0.654268039443838,N
ERI,Eritrea,2011,5.5,0.868556596469196,N
ERI,Eritrea,2011,17.81334964,0.999452600266574,N
ERI,Eritrea,2012,1.9,0.420512331352248,N
ERI,Eritrea,2012,2.36253841,0.500984788141343,N
ERI,Eritrea,2012,3.2,0.628441802625094,N
ERI,Eritrea,2012,5.5,0.848656918918619,N
ERI,Eritrea,2012,18.36542926,0.999112387924255,N
ERI,Eritrea,2013,1.9,0.416593228203402,N
ERI,Eritrea,2013,2.509693168,0.520564327218733,N
ERI,Eritrea,2013,3.2,0.623431643514737,N
ERI,Eritrea,2013,5.5,0.844653089618472,N
ERI,Eritrea,2013,18.79714975,0.999253969776848,N
ERI,Eritrea,2015,1.9,0.394663669308202,N
ERI,Eritrea,2015,2.668833214,0.511820280963684,N
ERI,Eritrea,2015,3.2,0.587457187624827,N
ERI,Eritrea,2015,5.5,0.81450985873751,N
ERI,Eritrea,2015,19.46453494,0.998643111105685,N
ERI,Eritrea,2018,,,N
ERI,Eritrea,2018,1.9,0.396123218904338,N
ERI,Eritrea,2018,2.877820132,0.527779887013218,N
ERI,Eritrea,2018,3.2,0.572085349780958,N
ERI,Eritrea,2018,5.5,0.800860437416753,N
ERI,Eritrea,2019,,,N
ERI,Eritrea,2019,1.9,0.397336368498478,N
ERI,Eritrea,2019,2.913124478,0.5193879100758,N
ERI,Eritrea,2019,3.2,0.558195572832275,N
ERI,Eritrea,2019,5.5,0.788112719793171,N
ERI,Eritrea,2020,,,N
ERI,Eritrea,2020,1.9,0.397142210544405,N
ERI,Eritrea,2020,2.879716786,0.516935991213465,N
ERI,Eritrea,2020,3.2,0.560498378168095,N
ERI,Eritrea,2020,5.5,0.79025396741015,N
ERI,Eritrea,2021,,,N
ERI,Eritrea,2021,1.9,0.398762149761597,N
ERI,Eritrea,2021,2.947927508,0.50679069290796,N
ERI,Eritrea,2021,3.2,0.540138526131325,N
ERI,Eritrea,2021,5.5,0.770929179888847,N
