CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
ARE,United Arab Emirates,OHI,National,2013,0,0,0,0,0.06494835
ARE,United Arab Emirates,OHI,National,2015,0,0,0.0006670654,0,0.05921305
ARE,United Arab Emirates,OHI,National,2018,0,0,0.0005498803,0,
ARE,United Arab Emirates,OHI,National,2019,0,0,0,0,
ARE,United Arab Emirates,OHI,National,2020,0,0,3.230296e-05,0,
ARE,United Arab Emirates,OHI,National,2021,0,0,0,0,
ARG,Argentina,LAC,National,1981,0.006692813,0.02187971,0.08367782,0.003483517,0.4068259
ARG,Argentina,LAC,National,1984,0.01001305,0.02247903,0.06916,0.008263591,0.3682888
ARG,Argentina,LAC,National,1987,0.01430375,0.03257235,0.1030757,0.01128675,0.4373035
ARG,Argentina,LAC,National,1990,0.01664534,0.06256856,0.1926379,0.01025543,0.6273481
ARG,Argentina,LAC,National,1993,0.02818199,0.07026529,0.1784296,0.01741226,0.5266201
ARG,Argentina,LAC,National,1996,0.05302169,0.1202962,0.2630922,0.04262592,0.6102345
ARG,Argentina,LAC,National,1999,0.05529385,0.130634,0.2848368,0.04236364,0.6138383
ARG,Argentina,LAC,National,2002,0.16941,0.3025911,0.4985427,0.138789,0.8084873
ARG,Argentina,LAC,National,2005,0.0416915,0.1116051,0.250077,0.04091494,0.6432856
ARG,Argentina,LAC,National,2008,0.02486261,0.06980932,0.1711024,0.02718952,0.6112935
ARG,Argentina,LAC,National,2010,0.01442093,0.04930345,0.1407072,0.01883057,0.6008604
ARG,Argentina,LAC,National,2011,0.01135401,0.03318589,0.1162152,0.01657512,0.5737694
ARG,Argentina,LAC,National,2012,0.01155554,0.03496582,0.1066432,0.01902028,0.5823126
ARG,Argentina,LAC,National,2013,0.01015866,0.03222642,0.1079386,0.0185642,0.5880134
ARG,Argentina,LAC,National,2015,0.009678159,0.03426284,0.1118467,0.02188662,0.6283816
ARG,Argentina,LAC,National,2018,0.01353985,0.04003928,0.1233857,0.03216561,
ARG,Argentina,LAC,National,2019,0.01457698,0.04875867,0.1440356,0.03918553,
ARG,Argentina,LAC,National,2020,0.01881392,0.06200961,0.1770361,0.04952652,
ARG,Argentina,LAC,National,2021,0.01690663,0.05674339,0.1640565,0.04668982,
ARM,Armenia,ECA,National,1981,0.03533883,0.1638627,0.4099468,0.003455505,0.8461037
ARM,Armenia,ECA,National,1984,0.02766,0.1415777,0.3765754,0.00475768,0.8216535
ARM,Armenia,ECA,National,1987,0.03216824,0.1550046,0.3969024,0.007783859,0.8418372
ARM,Armenia,ECA,National,1990,0.03370638,0.1593556,0.4033444,0.007916081,0.8352247
ARM,Armenia,ECA,National,1993,0.2322068,0.4915608,0.7628974,0.1129208,0.9499242
ARM,Armenia,ECA,National,1996,0.1420377,0.3668857,0.6565374,0.07866293,0.9201349
ARM,Armenia,ECA,National,1999,0.1221169,0.4484194,0.7820632,0.07165945,0.9657591
ARM,Armenia,ECA,National,2002,0.1051451,0.4375913,0.7970152,0.06298268,0.9714569
ARM,Armenia,ECA,National,2005,0.02685917,0.1947748,0.6126036,0.02577209,0.9542917
ARM,Armenia,ECA,National,2008,0.008928085,0.09306331,0.4548456,0.01123997,0.9705268
ARM,Armenia,ECA,National,2010,0.009744664,0.1410767,0.5496063,0.01919286,0.9833782
ARM,Armenia,ECA,National,2011,0.01208877,0.1314456,0.5125518,0.03090376,0.9844064
ARM,Armenia,ECA,National,2012,0.009169955,0.1126253,0.4828626,0.03076719,0.9815747
ARM,Armenia,ECA,National,2013,0.01767077,0.1136917,0.460761,0.04425471,0.9814227
ARM,Armenia,ECA,National,2015,0.01260682,0.09462474,0.3979562,0.05343432,0.9682249
ARM,Armenia,ECA,National,2018,0.01409537,0.09429495,0.4249042,0.06698363,
ARM,Armenia,ECA,National,2019,0.01078999,0.09845613,0.4402043,0.07106391,
ARM,Armenia,ECA,National,2020,0.01276412,0.1131195,0.4735403,0.07826129,
ARM,Armenia,ECA,National,2021,0.01109147,0.10312,0.4505347,0.07622299,
AUS,Australia,OHI,National,1981,0.01000117,0.01335806,0.0167323,0.006694771,0.09670346
AUS,Australia,OHI,National,1984,0.01001012,0.01336703,0.01675728,0.006685741,0.08853156
AUS,Australia,OHI,National,1987,0.008386601,0.01169792,0.01672612,0.006721418,0.09684491
AUS,Australia,OHI,National,1990,0.007305041,0.01058957,0.01674941,0.006748766,0.08622695
AUS,Australia,OHI,National,1993,0.008939848,0.01002842,0.01582577,0.006714749,0.07694374
AUS,Australia,OHI,National,1996,0.009496428,0.01003278,0.01702758,0.006715054,0.06857693
AUS,Australia,OHI,National,1999,0.006784003,0.01004198,0.01466394,0.006784003,0.05685378
AUS,Australia,OHI,National,2002,0.008401638,0.01123043,0.01422691,0.008401638,0.06293132
AUS,Australia,OHI,National,2005,0.00464765,0.007017661,0.009985562,0.00464765,0.04599615
AUS,Australia,OHI,National,2008,0.003612324,0.006694529,0.006694529,0.003612324,0.04700141
AUS,Australia,OHI,National,2010,0.003491684,0.006776492,0.006776492,0.003491684,0.05671242
AUS,Australia,OHI,National,2011,0.003864973,0.006943406,0.006943406,0.003864973,0.05493791
AUS,Australia,OHI,National,2012,0.004238261,0.00711032,0.00711032,0.004238261,0.05455686
AUS,Australia,OHI,National,2013,0.00461155,0.007277235,0.007277235,0.00461155,0.05608443
AUS,Australia,OHI,National,2015,0.004984838,0.007444149,0.007444149,0.004984838,0.05743453
AUS,Australia,OHI,National,2018,0.004984838,0.007444149,0.007444149,0.004984838,
AUS,Australia,OHI,National,2019,0.004984838,0.007444149,0.007444149,0.004984838,
AUS,Australia,OHI,National,2020,0.004984838,0.007444149,0.007444149,0.004984838,
AUS,Australia,OHI,National,2021,0.004984838,0.007444149,0.007444149,0.004984838,
AUT,Austria,OHI,National,1981,0,0,0,0,0.0174201
AUT,Austria,OHI,National,1984,0,0,0,0,0.01499778
AUT,Austria,OHI,National,1987,0,0,0,0,0.01242709
AUT,Austria,OHI,National,1990,0.001064568,0.002013465,0.004178108,0.001064568,0.02132263
AUT,Austria,OHI,National,1993,0.002129136,0.00402693,0.006279315,0.002129136,0.02635364
AUT,Austria,OHI,National,1996,0.006015545,0.008543355,0.01227568,0.006015545,0.0446023
AUT,Austria,OHI,National,1999,0.00230765,0.003151292,0.003974928,0.0006969252,0.02315928
AUT,Austria,OHI,National,2002,0.002214688,0.003484193,0.004927033,0.002214688,0.02380299
AUT,Austria,OHI,National,2005,0.001536901,0.001956212,0.003534567,0.001536901,0.02323948
AUT,Austria,OHI,National,2008,0.00471167,0.005820163,0.009083047,0.004929696,0.04177106
AUT,Austria,OHI,National,2010,0.004907025,0.005752031,0.0080701,0.005044655,0.03862395
AUT,Austria,OHI,National,2011,0.004154042,0.005750204,0.0103259,0.004881609,0.04812566
AUT,Austria,OHI,National,2012,0.006169174,0.007165632,0.0100754,0.006715152,0.05697375
AUT,Austria,OHI,National,2013,0.003379979,0.003766147,0.005949949,0.003379979,0.04873367
AUT,Austria,OHI,National,2015,0.00677193,0.007314446,0.008687777,0.00724832,0.05023185
AUT,Austria,OHI,National,2018,0.005683584,0.006873457,0.01042825,0.006798102,
AUT,Austria,OHI,National,2019,0.005683584,0.006873457,0.01042825,0.006798102,
AUT,Austria,OHI,National,2020,0.005683584,0.007228813,0.01142696,0.006873457,
AUT,Austria,OHI,National,2021,0.005683584,0.0070349,0.0104936,0.006798102,
AZE,Azerbaijan,ECA,National,1981,0.006284069,0.02590372,0.09531774,0.004388334,0.6009846
AZE,Azerbaijan,ECA,National,1984,0.005076344,0.01954279,0.07080844,0.004388334,0.5096426
AZE,Azerbaijan,ECA,National,1987,0.005076344,0.0159135,0.05620688,0.004388334,0.4775249
AZE,Azerbaijan,ECA,National,1990,0.006565203,0.02625514,0.09667591,0.004458618,0.5947344
AZE,Azerbaijan,ECA,National,1993,0.03128162,0.1093512,0.3579943,0.0131318,0.8417698
AZE,Azerbaijan,ECA,National,1996,0.06311811,0.2468429,0.6025836,0.03625627,0.9328844
AZE,Azerbaijan,ECA,National,1999,0.03822882,0.1948862,0.5424962,0.01880606,0.9088145
AZE,Azerbaijan,ECA,National,2002,0.000428381,0.005675245,0.1616427,0,0.8875572
AZE,Azerbaijan,ECA,National,2005,0,0.0004009374,0.07046068,0,0.8620209
AZE,Azerbaijan,ECA,National,2008,0,0,0.0006469871,0,0.6299455
AZE,Azerbaijan,ECA,National,2010,0,0,0.001887641,0,0.7715581
AZE,Azerbaijan,ECA,National,2011,0,0,8.66141e-05,0,0.6372933
AZE,Azerbaijan,ECA,National,2012,0,0,8.66141e-05,0,0.6537231
AZE,Azerbaijan,ECA,National,2013,0,0,0,0,0.5613641
AZE,Azerbaijan,ECA,National,2015,0,0,0,0,0.5797622
AZE,Azerbaijan,ECA,National,2018,0,0,0,0,
AZE,Azerbaijan,ECA,National,2019,0,0,0,0,
AZE,Azerbaijan,ECA,National,2020,0,0,8.66141e-05,0,
AZE,Azerbaijan,ECA,National,2021,0,0,0,0,
BDI,Burundi,SSA,National,1981,0.854704,0.9614465,0.992349,0.5068389,0.99999
BDI,Burundi,SSA,National,1984,0.8720454,0.9664983,0.9937187,0.6527479,0.99999
BDI,Burundi,SSA,National,1987,0.8322444,0.9547642,0.9905475,0.640271,0.99999
BDI,Burundi,SSA,National,1990,0.8249401,0.9525524,0.9899532,0.6227993,0.99999
BDI,Burundi,SSA,National,1993,0.8278923,0.9530142,0.9884197,0.6571111,0.9995758
BDI,Burundi,SSA,National,1996,0.8490786,0.9566925,0.9849237,0.757659,0.9987752
BDI,Burundi,SSA,National,1999,0.845776,0.9531457,0.9809554,0.7611185,0.9980324
BDI,Burundi,SSA,National,2002,0.8157272,0.9420914,0.9817889,0.7574517,0.9989267
BDI,Burundi,SSA,National,2005,0.8035093,0.9382978,0.9847313,0.7967233,0.9997305
BDI,Burundi,SSA,National,2008,0.7730434,0.9246318,0.9809018,0.7935425,0.9996859
BDI,Burundi,SSA,National,2010,0.7556749,0.9141086,0.9769012,0.805525,0.9994712
BDI,Burundi,SSA,National,2011,0.7507803,0.9105329,0.9751494,0.8230408,0.9993596
BDI,Burundi,SSA,National,2012,0.7447351,0.9057265,0.9729839,0.8278208,0.9992635
BDI,Burundi,SSA,National,2013,0.7314552,0.8987559,0.9699648,0.8344363,0.9991362
BDI,Burundi,SSA,National,2015,0.754573,0.9102146,0.9735321,0.8705379,0.9992501
BDI,Burundi,SSA,National,2018,0.7895172,0.9251171,0.978833,0.9051273,
BDI,Burundi,SSA,National,2019,0.7952603,0.9276821,0.980222,0.910079,
BDI,Burundi,SSA,National,2020,0.805663,0.9316825,0.9817736,0.9132451,
