year,P20,P80
2019,2.92067817819124,22.2780919092081
2020,2.83425955794035,21.6886397832816
2021,2.94758173800276,22.5914111681405
2022,3.04640280927356,23.2822545153163
2023,3.14968917702323,23.8196601125011
2024,3.25469286986339,24.3776733921587
2025,3.39173801706127,24.9658265156341
2026,3.50039682115203,25.4953845417265
