CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
BGD,Bangladesh,SAS,National,2018,HeadCount,UPL,5.5,0.7795677,6.11676,0.7311929,5.939234,0.712141,-0.0483747999999999,-0.0674267
BGR,Bulgaria,ECA,National,2018,HeadCount,EPL,1.9,0.01328792,2.195249,0.01371766,2.308829,0.01577615,0.00042974,0.00248823
BGR,Bulgaria,ECA,National,2018,HeadCount,LPL,3.2,0.02903497,3.642544,0.0326467,3.981504,0.03841621,0.00361173,0.00938124
BGR,Bulgaria,ECA,National,2018,HeadCount,UPL,5.5,0.06791006,6.11676,0.07480939,5.939234,0.07024377,0.00689933000000001,0.00233371
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,EPL,1.9,0.0005898651,2.195249,0.0005898651,2.308829,0.0005898651,0,0
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,LPL,3.2,0.002420837,3.642544,0.003632492,3.981504,0.006088364,0.001211655,0.003667527
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,UPL,5.5,0.02182315,6.11676,0.02392813,5.939234,0.02182315,0.00210498,0
BLR,Belarus,ECA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
BLR,Belarus,ECA,National,2018,HeadCount,LPL,3.2,0.0002201219,3.642544,0.0006905377,3.981504,0.001481817,0.0004704158,0.0012616951
BLR,Belarus,ECA,National,2018,HeadCount,UPL,5.5,0.004409214,6.11676,0.01150619,5.939234,0.01074781,0.007096976,0.006338596
BLZ,Belize,LAC,National,2018,HeadCount,EPL,1.9,0.1391808,2.195249,0.2079034,2.308829,0.2262098,0.0687226,0.087029
BLZ,Belize,LAC,National,2018,HeadCount,LPL,3.2,0.2841973,3.642544,0.4309426,3.981504,0.4727214,0.1467453,0.1885241
BLZ,Belize,LAC,National,2018,HeadCount,UPL,5.5,0.533162,6.11676,0.6588334,5.939234,0.6287532,0.1256714,0.0955912
BOL,Bolivia,LAC,National,2018,HeadCount,EPL,1.9,0.0448496,2.195249,0.03104482,2.308829,0.03344057,-0.01380478,-0.01140903
BOL,Bolivia,LAC,National,2018,HeadCount,LPL,3.2,0.1064477,3.642544,0.07477362,3.981504,0.08821525,-0.03167408,-0.01823245
BOL,Bolivia,LAC,National,2018,HeadCount,UPL,5.5,0.2309369,6.11676,0.1585626,5.939234,0.152163,-0.0723743,-0.0787739
BRA,Brazil,LAC,National,2018,HeadCount,EPL,1.9,0.04441416,2.195249,0.0516733,2.308829,0.05529898,0.00725914,0.01088482
BRA,Brazil,LAC,National,2018,HeadCount,LPL,3.2,0.09175606,3.642544,0.1036981,3.981504,0.1166205,0.01194204,0.02486444
BRA,Brazil,LAC,National,2018,HeadCount,UPL,5.5,0.1991707,6.11676,0.2184544,5.939234,0.2098314,0.0192837,0.0106607
BTN,Bhutan,SAS,National,2018,HeadCount,EPL,1.9,0.007489954,2.195249,0.006576405,2.308829,0.007505706,-0.000913549,1.5752e-05
BTN,Bhutan,SAS,National,2018,HeadCount,LPL,3.2,0.0793282,3.642544,0.0637691,3.981504,0.08719697,-0.0155591,0.00786877
BTN,Bhutan,SAS,National,2018,HeadCount,UPL,5.5,0.3125969,6.11676,0.2689406,5.939234,0.2566499,-0.0436563,-0.055947
